network,station,longitude,latitude,color
IDEAM,Nataima,-74.96047222,4.188138889,darkviolet
IDEAM,UPTC,-73.36081306,5.5430775,purple
IDEAM,CSCayetano,-74.08822222,4.516752778,darkorchid
IDEAM,Tauramena,-72.86984056,5.027257778,darkmagenta
IDEAM,Guaicaramo,-72.95358333,4.468666667,violet
IDEAM,HLGrande,-72.91733333,4.65083333,magenta
IDEAM,ICA,-73.625,4.137388889,pink
IDEAM,Libertad,-73.46791667,4.057361111,plum
IDEAM,SENA,-73.63955556,4.127361111,lightpink
IDEAM,Unillanos,-73.582,4.076722222,snow
